2025-04-25T15:06:02.727+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] .e.j.Jd20250417SpringbookDemoApplication : Starting Jd20250417SpringbookDemoApplication using Java 17 with PID 3952 (D:\Github\Java-EE\CodeJavaEE\JD20250417-springbook-demo\target\classes started by 姚东名 in D:\Github\Java-EE\CodeJavaEE\JD20250417-springbook-demo)
2025-04-25T15:06:02.731+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] .e.j.Jd20250417SpringbookDemoApplication : No active profile set, falling back to 1 default profile: "default"
2025-04-25T15:06:03.462+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-04-25T15:06:03.465+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.a.catalina.core.AprLifecycleListener   : Loaded Apache Tomcat Native library [2.0.8] using APR version [1.7.4].
2025-04-25T15:06:03.480+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.a.catalina.core.AprLifecycleListener   : OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
2025-04-25T15:06:03.488+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-04-25T15:06:03.488+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-04-25T15:06:03.518+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-04-25T15:06:03.518+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 761 ms
2025-04-25T15:06:03.913+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-04-25T15:06:03.918+08:00  INFO 3952 --- [JD20250417-springbook-demo] [main] .e.j.Jd20250417SpringbookDemoApplication : Started Jd20250417SpringbookDemoApplication in 1.5 seconds (process running for 1.941)
2025-04-25T15:07:53.811+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-25T15:07:53.811+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-04-25T15:07:53.827+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2025-04-25T15:07:58.482+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] o.e.j.controller.UserInfoController      : username: admin
2025-04-25T15:07:58.508+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-04-25T15:07:58.773+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@435aac17
2025-04-25T15:07:58.775+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-04-25T15:07:58.957+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-5] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:07:58.957+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-5] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:07:59.016+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-5] o.e.j.interceptor.LoginInterceptor       : postHandle 目标方法执行后~
2025-04-25T15:07:59.016+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-5] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:21.334+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-7] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:21.334+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-7] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:21.334+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-7] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:25.194+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-8] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:25.194+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-8] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:25.194+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-8] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:30.216+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-10] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:30.223+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-10] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:30.228+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-10] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:44.798+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-9] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:44.798+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-9] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:44.825+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-9] o.e.j.interceptor.LoginInterceptor       : postHandle 目标方法执行后~
2025-04-25T15:08:44.826+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-9] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:47.899+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:47.899+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:47.924+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.e.j.interceptor.LoginInterceptor       : postHandle 目标方法执行后~
2025-04-25T15:08:47.924+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-1] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:48.706+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-2] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:48.708+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-2] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:48.728+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-2] o.e.j.interceptor.LoginInterceptor       : postHandle 目标方法执行后~
2025-04-25T15:08:48.728+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-2] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:48.876+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
2025-04-25T15:08:48.877+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] o.e.j.interceptor.LoginInterceptor       : 用户已登录
2025-04-25T15:08:48.890+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] o.e.j.interceptor.LoginInterceptor       : postHandle 目标方法执行后~
2025-04-25T15:08:48.890+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-3] o.e.j.interceptor.LoginInterceptor       : 视图 view 渲染完成~
2025-04-25T15:08:49.065+08:00  INFO 3952 --- [JD20250417-springbook-demo] [http-nio-8080-exec-4] o.e.j.interceptor.LoginInterceptor       : preHandle 目标方法执行前~
